stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_06377,06377,CTRA.M608-URB.LAS CAÑADAS,Ctra de Alpedrete 39700,40.6490478515625,-3.99710583686829,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06378,06378,CTRA.M608-URB.EL SOTO,Ctra de Alpedrete 40000,40.6508178710938,-3.99956870079041,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09308,09308,CTRA.M608-REDONDILLO,Ctra   M-608 a Villalba 6,40.674373626709,-3.97039937973022,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09309,09309,CTRA.M608-LOS CHOPOS,Ctra   M-608 a Villalba 36200,40.669677734375,-3.97486257553101,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_09310,09310,CTRA.M608-LOS LINAREJOS,Ctra   Moralzarzal 37300,40.6612777709961,-3.98145961761475,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10230,10230,CTRA.M608-LOS LINAREJOS,Ctra   Moralzarzal 37400,40.6609878540039,-3.98183393478394,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10234,10234,CTRA.M608-LOS CHOPOS,Ctra   M-608 a Villalba 36200,40.6695442199707,-3.97464776039124,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_10235,10235,CTRA.M608-REDONDILLO,Ctra   M-608 a Villalba 35600,40.673957824707,-3.97052359580994,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12512,12512,ESTACIÓN DE AUTOBUSES DE MORALZARZAL,Calle   Antón 48,40.6810874938965,-3.96875739097595,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_19385,19385,HOSPITAL GENERAL DE VILLALBA,Ctra de Alpedrete 40400,40.6531982421875,-4.00232458114624,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_8_19427,19427,CTRA.M608-URB.EL SOTO,Ctra de Alpedrete 40000,40.6505928039551,-3.99955344200134,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_8_19428,19428,CTRA.M608-URB.LAS CAÑADAS,Ctra de Alpedrete 39600,40.6484375,-3.99665904045105,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_8_20945,20945,POLIDEPORTIVO MORALZARZAL,Lugar   Polideportivo Moralzarzal SN,40.6801567077637,-3.95734858512878,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_21080,21080,AV.SALVADOR SÁNCHEZ FRASCUELO-EST.BUSES,Avda de Salvador Sánchez Frascuelo 4,40.6805648803711,-3.96874976158142,C1,http://www.crtm.es,0,,Europe/Madrid,0
par_8_06370,06370,CTRA.MORALZARZAL-EL ROBLE,Ctra  Moralzarzal 5,40.6379585266113,-3.99895119667053,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06371,06371,LIBERTAD-VILLA CARLOTA,Calle la Libertad 78,40.6409683227539,-3.99560189247131,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06372,06372,DR.JOSÉ MªPOVEDA-EL RASO,Calle   Doctor José María Poveda 1,40.6415863037109,-3.99216961860657,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06373,06373,DR.JOSÉ MªPOVEDA-URB.LA CERCA,Urb la Cerca 1,40.6442413330078,-3.98809313774109,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06380,06380,CTRA.MORALZARZAL-COL.VIRGEN ENEBROS,Ctra  Moralzarzal 31,40.6419639587402,-3.9962317943573,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06381,06381,CTRA.MORALZARZAL-EL ROBLE,Ctra   Moralzarzal 11,40.6386642456055,-3.99858331680298,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06398,06398,DR.JOSÉ MªPOVEDA-URB.LA CERCA,Calle   Doctor José María Poveda 12,40.6440887451172,-3.9882447719574,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06516,06516,AV.JUAN CARLOS I-ZOCO,Avda   Juan Carlos I 33,40.633147092025,-4.00513722927579,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06523,06523,CTRA.MORALZARZAL-PIEDRAHITA,Ctra  Moralzarzal 2,40.6352958679199,-4.00166654586792,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_06524,06524,LIBERTAD-VILLA CARLOTA,Calle la Libertad 60,40.6413192749023,-3.99468469619751,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12560,12560,DR.JOSÉ MªPOVEDA-EL RASO,Calle   Doctor José María Poveda 1,40.6414794921875,-3.99209713935852,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_1333,1333,AV.PUERTA DE HIERRO-AGRONOMOS,Avda de Puerta de Hierro 4500,40.4417419690002,-3.73008272104425,A,http://www.crtm.es,0,,Europe/Madrid,0
par_8_17480,17480,INTERCAMBIADOR DE MONCLOA,Avda del Arco de la Victoria 3600,40.4358784708797,-3.71982081303785,A,http://www.crtm.es,0,est_90_14,,2
par_8_19345,19345,PRADO MANZANO-URB PEÑANEVADA II,Calle   Prado Manzano sn,40.6472015380859,-3.98944973945618,B3,http://www.crtm.es,0,,Europe/Madrid,0
par_8_19346,19346,PRADO MANZANO-URB.PEÑANEVADA I,Calle   Prado Manzano sn,40.646800994873,-3.98893523216248,B3,http://www.crtm.es,0,,Europe/Madrid,0
